Item,Cost,Quantity
Apples,6.27838363,27
Green Beans,7.06495282,29
Egg Salad Sandwich,0.888338129,32
Cookies,4.279678517,19
Vegemite,2.409455635,33
Burrito,1.721503606,11
Grapes,7.037276955,21
Nuts,0.313996354,46
Walnuts,8.712317813,40
Indomine,6.957682463,45
Sardine,8.995038922,43
Flask,8.793411882,50
Coffee,4.221247436,32
Avocado,1.042513252,27
Strawberries,7.84151077,43
Plums,4.88989137,22
Salt,4.921120763,19
Pepper,1.892555385,17
Chicken,0.9199498,9
Alfredo,0.371120647,47
Pesto,4.608546988,38
Orange,2.645253568,30
Tangerine,5.285579179,35
Freesia,4.936545857,47
Carrot,8.791814563,8
Cabbage,7.991296869,47
Lettuce,6.295818364,46
Spinach,1.582197216,29
Salmon,2.061444743,44
